Future State - Account,Wesco 1A Account Grouping Exceptions,Grouping,Static/Dynamic,Risk Rating,Frequency
218001,Account Group 14: Restructuring reserves,LE & OG,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
218002,Account Group 14: Restructuring reserves,LE & OG,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
218003,Account Group 14: Restructuring reserves,LE & OG,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
218026,Account Group 15: Senior Notes,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
218027,Account Group 15: Senior Notes,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
218028,Account Group 15: Senior Notes,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
218030,Account Group 15: Senior Notes,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
218031,Account Group 15: Senior Notes,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
218032,Account Group 15: Senior Notes,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
218048,Account Grouping 22: Leases,Globally,Static frequency: monthly - PENDING confirmation of possible automation,High,Monthly
218049,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
218050,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
218051,Account Grouping 22: Leases,Globally,Static frequency: monthly - PENDING confirmation of possible automation,High,Monthly
218052,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
218053,Account Grouping 22: Leases,Globally,Static frequency: monthly - PENDING confirmation of possible automation,High,Monthly
218054,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
218055,Account Grouping 22: Leases,Globally,Static frequency: monthly - PENDING confirmation of possible automation,High,Monthly
218080,Account Grouping 17: Deferred Revenue,LE & OG,Static frequency: quarterly,Medium,Quarterly
218081,Account Grouping 17: Deferred Revenue,LE & OG,Static frequency: quarterly,Medium,Quarterly
218082,Account Grouping 17: Deferred Revenue,LE & OG,Static frequency: quarterly,Medium,Quarterly
218083,Account Grouping 17: Deferred Revenue,LE & OG,Static frequency: quarterly,Medium,Quarterly
218084,Account Grouping 17: Deferred Revenue,LE & OG,Static frequency: quarterly,Medium,Quarterly
218801,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218802,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218805,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218806,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218807,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218808,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218809,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218810,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218811,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218812,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218813,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218814,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218815,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218816,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218817,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218818,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218819,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218820,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218821,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218822,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218823,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
218824,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
222006,Account Grouping 28: LTIP,#N/A,Static frequency: quarterly-1,Medium,Quarterly-1
301001,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
302001,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
303001,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
303002,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
303003,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
303004,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
303005,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
303006,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
303007,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
304001,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
305001,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
305002,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
305003,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
305004,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
