Account ID,AC,Active?,Preparer Duration
1002_ON-2100-112104-0000-80217-0000-ALL-ALL,112104,Yes,14
1002_ON-2100-113002-0000-15110-0000-ALL-ALL,113002,No,14
1002_ON-2100-113003-0000-11004-0000-ALL-ALL,113003,Yes,14
1002_ON-2100-113003-0000-11106-0000-ALL-ALL,113003,Yes,14
1002_ON-2100-113003-0000-12311-0000-ALL-ALL,113003,Yes,14
1002_ON-2100-113003-0000-12501-0000-ALL-ALL,113003,Yes,14
1002_ON-2100-113003-0000-12613-0000-ALL-ALL,113003,Yes,14
1002_ON-2100-113003-0000-12902-0000-ALL-ALL,113003,Yes,14
1002_ON-2100-113003-0000-13406-0000-ALL-ALL,113003,Yes,14
1002_ON-2100-113003-0000-14115-0000-ALL-ALL,113003,Yes,14
1002_ON-2100-113003-0000-15402-0000-ALL-ALL,113003,Yes,14
1002_ON-2100-113003-0000-16016-0000-ALL-ALL,113003,Yes,14
1002_ON-2100-113003-0000-80053-0000-ALL-ALL,113003,Yes,14
1002_ON-2100-113003-0000-80154-0000-ALL-ALL,113003,Yes,14
1002_ON-2100-113003-0000-80160-0000-ALL-ALL,113003,Yes,14
1002_ON-2100-113003-0000-80212-0000-ALL-ALL,113003,Yes,14
1002_ON-2100-113003-0000-80344-0000-ALL-ALL,113003,Yes,14
1002_ON-2100-113003-0000-80616-0000-ALL-ALL,113003,Yes,14
1002_ON-2100-113013-0000-12106-0000-ALL-ALL,113013,Yes,14
1002_ON-2100-113013-0000-12116-0000-ALL-ALL,113013,Yes,14
1002_ON-2100-113013-0000-12902-0000-ALL-ALL,113013,Yes,14
1002_ON-2100-113013-0000-80125-0000-ALL-ALL,113013,Yes,14
1002_ON-2100-113013-0000-80217-0000-ALL-ALL,113013,Yes,14
1002_ON-2100-115130-0000-12905-0000-ALL-ALL,115130,Yes,14
1002_ON-2100-115131-0000-11004-0000-ALL-ALL,115131,Yes,14
1002_ON-2100-115131-0000-11205-0000-ALL-ALL,115131,Yes,14
1002_ON-2100-115131-0000-11322-0000-ALL-ALL,115131,Yes,14
1002_ON-2100-115131-0000-11408-0000-ALL-ALL,115131,Yes,14
1002_ON-2100-115131-0000-11804-0000-ALL-ALL,115131,Yes,14
1002_ON-2100-115131-0000-12208-0000-ALL-ALL,115131,Yes,14
1002_ON-2100-115131-0000-12506-0000-ALL-ALL,115131,Yes,14
1002_ON-2100-115131-0000-12905-0000-ALL-ALL,115131,Yes,14
1002_ON-2100-115131-0000-13003-0000-ALL-ALL,115131,Yes,14
1002_ON-2100-115131-0000-13004-0000-ALL-ALL,115131,Yes,14
